question_id,question_type,retrieval_method,question,reference_answer,ground_truth_chunks,retrieved_chunk_ids,hit_at_k,recall_at_k,reciprocal_rank,all_ground_truth_retrieved,answer,citation_format_valid,abstained,manual_answer_correct,manual_citations_supported,manual_unanswerable_handling_correct,manual_notes
Q01,factoid,bm25,What aircraft model and registration were involved in occurrence A23Q0145?,"Beech King Air A100, registration C-GJJF.",A23Q0145_chunk_0001,A23Q0145_chunk_0016|A23Q0145_chunk_0006|A23Q0145_chunk_0046|A20W0016_chunk_0035|A23Q0145_chunk_0001,True,1.0,0.2,True,"Beech King Air A100, C-GJJF [A23Q0145_chunk_0004]",False,False,True,False,,"Answer correct, but the cited chunk was not retrieved."
Q02,factoid,bm25,"What was the aircraft doing when it lost engine power in occurrence A22P0067, and where did the pilot land?",The aircraft was conducting aerial firefighting operations. The pilot completed a forced landing in a reforested area.,A22P0067_chunk_0001,A22P0067_chunk_0017|A22P0067_chunk_0018|A24W0066_chunk_0043|A22P0067_chunk_0003|A22P0067_chunk_0021,False,0.0,0.0,False,"The aircraft was attempting a 180° turn to land after continuing with the firefighting mission. The pilot landed the aircraft in a reforested area.

[A22P0067_chunk_0018]",True,False,False,False,,Mixed correct information with an unsupported 180-degree turn; cited checklist chunk did not support the answer.
Q03,factoid,bm25,What objects did the aircraft strike before coming to rest in occurrence A23P0039?,The aircraft struck a pickup truck and then the airport perimeter fence before coming to rest against a berm.,A23P0039_chunk_0001,A23P0039_chunk_0001|A21O0056_chunk_0003|A22C0058_chunk_0004|A23P0003_chunk_0013|A20Q0015_chunk_0009,True,1.0,1.0,True,"The aircraft struck a pickup truck that was driving on 216 Street, a public road, approximately 450 feet east of the runway's displaced threshold. It then struck the airport perimeter fence approximately 60 feet west of the initial impact with the pickup truck and slid a further 30 feet before it came to rest against a berm [A23P0039_chunk_0001].",True,False,True,True,,Complete impact sequence matched the reference and citation.
Q04,factoid,bm25,"After the runway overrun in occurrence A23O0046, where did the aircraft stop, and were there any injuries or aircraft damage?","The aircraft stopped in muddy grass approximately 350 feet beyond the end of the runway. No one was injured, and the aircraft was not damaged.",A23O0046_chunk_0001,A22O0161_chunk_0013|A21O0127_chunk_0003|A22Q0025_chunk_0004|A23O0046_chunk_0005|A23O0046_chunk_0042,False,0.0,0.0,False,"The aircraft stopped approximately 350 feet beyond the end of the runway, or 250 feet beyond the end of the additional paved surface. There were no injuries. The aircraft was not damaged, but an extensive amount of dirt was found around the landing gear system [A23O0046_chunk_0042].",True,False,True,False,,"Core answer correct; cited findings chunk did not support the stopping, injury, or damage details."
Q05,factoid,bm25,How many touch-and-go manoeuvres did the student pilot complete with the instructor before beginning the first solo flight in occurrence A23Q0088?,The student pilot completed eight touch-and-go manoeuvres.,A23Q0088_chunk_0001,A23Q0088_chunk_0001|A23Q0088_chunk_0006|A23Q0088_chunk_0005|A23Q0088_chunk_0007|A23Q0088_chunk_0002,True,1.0,1.0,True,"The student pilot carried out 8 touch-and-go manoeuvres during the flight, which ended at 0853. [A23Q0088_chunk_0001]",True,False,True,True,,Correct count with direct supporting citation.
Q06,multi-hop,bm25,"Comparing runway-overrun occurrences A23O0046 and A23C0081, which aircraft carried more people, by how many, and did either occurrence result in injuries?","A23O0046 carried more people. It carried 56 people compared with 7 in A23C0081, a difference of 49. Neither occurrence resulted in injuries.",A23O0046_chunk_0001|A23C0081_chunk_0001|A23C0081_chunk_0002,A23C0081_chunk_0009|A23O0046_chunk_0034|A23C0105_chunk_0009|A23O0046_chunk_0042|A23O0046_chunk_0026,False,0.0,0.0,False,I don't know.,True,True,False,,,Incorrectly abstained on an answerable multi-hop question.
Q07,multi-hop,bm25,"Compare occurrences A23Q0145 and A22P0067: what operation was each aircraft conducting, what event led to the accident, and what was the injury outcome?","In A23Q0145, the aircraft was conducting a medical evacuation flight; it struck a snow windrow during landing and exited the runway, and one mission personnel member received minor injuries. In A22P0067, the aircraft was conducting aerial firefighting operations; it lost engine power and made a forced landing, and the pilot received minor injuries.",A23Q0145_chunk_0001|A22P0067_chunk_0001,A21P0107_chunk_0052|A17C0146_chunk_0123|A15P0081_chunk_0028|A23P0040_chunk_0024|A22P0067_chunk_0019,False,0.0,0.0,False,I don't know.,True,True,False,,,Incorrectly abstained on an answerable multi-hop question.
Q08,factoid,bm25,"What level of injury was sustained by the pilot, aircraft passenger, and pickup-truck driver in occurrence A23P0039?",The pilot sustained serious injuries. The aircraft passenger and pickup-truck driver sustained minor injuries.,A23P0039_chunk_0001,A23P0039_chunk_0001|A23P0039_chunk_0002|A21O0056_chunk_0015|A21O0056_chunk_0004|A16P0180_chunk_0002,True,1.0,1.0,True,"The pilot received serious injuries, the aircraft passenger received minor injuries, and the pickup-truck driver received minor injuries. [A23P0039_chunk_0002]",True,False,True,True,,All three injury outcomes correct and directly supported.
Q09,unanswerable,bm25,What was the pilot's favourite food in occurrence A23Q0145?,I don't know.,,A16O0066_chunk_0011|A23Q0145_chunk_0016|A23Q0145_chunk_0045|A23Q0145_chunk_0004|A23Q0145_chunk_0003,,,,,I don't know.,True,True,True,,True,Correct abstention on an unanswerable question.
Q10,unanswerable,bm25,What was the licence-plate number of the pickup truck struck in occurrence A23P0039?,I don't know.,,A23P0039_chunk_0001|A23P0039_chunk_0002|A21O0056_chunk_0015|A24W0008_chunk_0034|A16P0180_chunk_0002,,,,,I don't know.,True,True,True,,True,Correct abstention on an unanswerable question.
