question_id,type,question,reference_answer,ground_truth_chunks,manually_verified
Q01,factoid,"What aircraft model and registration were involved in occurrence A23Q0145?","Beech King Air A100, registration C-GJJF.",A23Q0145_chunk_0001,true
Q02,factoid,"What was the aircraft doing when it lost engine power in occurrence A22P0067, and where did the pilot land?","The aircraft was conducting aerial firefighting operations. The pilot completed a forced landing in a reforested area.",A22P0067_chunk_0001,true
Q03,factoid,"What objects did the aircraft strike before coming to rest in occurrence A23P0039?","The aircraft struck a pickup truck and then the airport perimeter fence before coming to rest against a berm.",A23P0039_chunk_0001,true
Q04,factoid,"After the runway overrun in occurrence A23O0046, where did the aircraft stop, and were there any injuries or aircraft damage?","The aircraft stopped in muddy grass approximately 350 feet beyond the end of the runway. No one was injured, and the aircraft was not damaged.",A23O0046_chunk_0001,true
Q05,factoid,"How many touch-and-go manoeuvres did the student pilot complete with the instructor before beginning the first solo flight in occurrence A23Q0088?","The student pilot completed eight touch-and-go manoeuvres.",A23Q0088_chunk_0001,true
Q06,multi-hop,"Comparing runway-overrun occurrences A23O0046 and A23C0081, which aircraft carried more people, by how many, and did either occurrence result in injuries?","A23O0046 carried more people. It carried 56 people compared with 7 in A23C0081, a difference of 49. Neither occurrence resulted in injuries.","A23O0046_chunk_0001|A23C0081_chunk_0001|A23C0081_chunk_0002",true
Q07,multi-hop,"Compare occurrences A23Q0145 and A22P0067: what operation was each aircraft conducting, what event led to the accident, and what was the injury outcome?","In A23Q0145, the aircraft was conducting a medical evacuation flight; it struck a snow windrow during landing and exited the runway, and one mission personnel member received minor injuries. In A22P0067, the aircraft was conducting aerial firefighting operations; it lost engine power and made a forced landing, and the pilot received minor injuries.","A23Q0145_chunk_0001|A22P0067_chunk_0001",true
Q08,factoid,"What level of injury was sustained by the pilot, aircraft passenger, and pickup-truck driver in occurrence A23P0039?","The pilot sustained serious injuries. The aircraft passenger and pickup-truck driver sustained minor injuries.",A23P0039_chunk_0001,true
Q09,unanswerable,"What was the pilot's favourite food in occurrence A23Q0145?","I don't know.",,true
Q10,unanswerable,"What was the licence-plate number of the pickup truck struck in occurrence A23P0039?","I don't know.",,true
